Title (Address),Area (sq-ft),Price (Cr)
2 BHK Apartment for Sale in Malad East Mumbai,900 sqft,"₹
2.75 Cr"
"2 BHK Apartment for Sale in Raj Shivganga, Malad West Mumbai",600 sqft,"₹
1.80 Cr"
"2 BHK Apartment for Sale in Yamuna Height, Siddharth Nagar Mulund West Mumbai",460 sqft,"₹
1.35 Cr"
"2 BHK Apartment for Sale in Joy Valencia, Andheri East Mumbai",720 sqft,"₹
2.60 Cr"
"3 BHK Apartment for Sale in Nine Dimensions Shanta Durga, Mahim Mumbai",892 sqft,"₹
4.90 Cr"
"3 BHK Apartment for Sale in Rajhans Dreams, Vasai West Mumbai",850 sqft,"₹
1.15 Cr"
3 BHK Apartment for Sale in Agripada Mumbai,950 sqft,"₹
3 Cr"
"2 BHK Apartment for Sale in Rashmi Tanmay, Mira Road Mumbai",1400 sqft,"₹
90 Lac"
"3 BHK Apartment for Sale in Bismillah Heights, Nagpada Mumbai",780 sqft,"₹
2.75 Cr"
"2 BHK Apartment for Sale in Kanakia Sevens, Andheri East Mumbai",845 sqft,"₹
2.32 Cr"
"2 BHK Apartment for Sale in Dimples La Bellezza, Borivali East Mumbai",571 sqft,"₹
1.35 Cr"
2 BHK Apartment for Sale in Dombivli East Mumbai,1044 sqft,"₹
95 Lac"
2 BHK Apartment for Sale in Santacruz East Mumbai,625 sqft,"₹
1.65 Cr"
2 BHK Apartment for Sale in Colaba Mumbai,700 sqft,"₹
3.10 Cr"
"2 BHK Apartment for Sale in Maitri Residency, Mahavir Nagar Kandivali West Mumbai",675 sqft,"₹
2.10 Cr"
"2 BHK Apartment for Sale in Sheth Montana, Mulund West Mumbai",723 sqft,"₹
2.15 Cr"
"3 BHK Apartment for Sale in Sky Scraper, Breach Candy Mumbai",1060 sqft,"₹
7 Cr"
"2 BHK Apartment for Sale in Lands End Apartment, Malabar Hill Mumbai",1225 sqft,"₹
8.19 Cr"
2 BHK Apartment for Sale in Hindmata Mumbai,850 sqft,"₹
3.25 Cr"
"2 BHK Apartment for Sale in Prakash CHS, Santacruz West Mumbai",910 sqft,"₹
4.09 Cr"
"2 BHK Apartment for Sale in Park Royale, Marol Mumbai",821 sqft,"₹
2.58 Cr"
"3 BHK Apartment for Sale in Runwal Bliss, Kanjurmarg East Mumbai",850 sqft,"₹
2.75 Cr"
2 BHK Apartment for Sale in Powai Mumbai,600 sqft,"₹
1.60 Cr"
"2 BHK Apartment for Sale in Omkar Ananta, Goregaon East Mumbai",650 sqft,"₹
1.40 Cr"
"2 BHK Apartment for Sale in Crescent Sky Heights, Dahisar East Mumbai",652 sqft,"₹
1.46 Cr"
"2 BHK Apartment for Sale in Rustomjee Global City, Dongerpada Mumbai",750 sqft,"₹
46 Lac"
"2 BHK Apartment for Sale in Jaydeep Mahalaxmi Prathmesh Darshan, Ghatkopar East Mumbai",651 sqft,"₹
1.53 Cr"
"3 BHK Apartment for Sale in Alpine Shapoorji Pallonji, Kandivali East Mumbai",1130 sqft,"₹
3.80 Cr"
3 BHK Apartment for Sale in Kalina Mumbai,1160 sqft,"₹
3.45 Cr"
"2 BHK Apartment for Sale in Crystal Palace CHS, Malad West Mumbai",600 sqft,"₹
1.70 Cr"
"2 BHK Apartment for Sale in Sufalam CHS, Chembur East Mumbai",800 sqft,"₹
1.65 Cr"
"3 BHK Apartment for Sale in F Residences, Ghatkopar Mumbai",1695 sqft,"₹
4.10 Cr"
"2 BHK Apartment for Sale in Sarova Kandivali, Kandivali East Mumbai",721 sqft,"₹
2.39 Cr"
"3 BHK Apartment for Sale in Akashdeep, Girgaon Mumbai",900 sqft,"₹
3 Cr"
3 BHK Apartment for Sale in Versova Andheri West Mumbai,1800 sqft,"₹
6.50 Cr"
"2 BHK Apartment for Sale in Ruparel Sky Greens, Kandivali West Mumbai",620 sqft,"₹
2.45 Cr"
"2 BHK Apartment for Sale in Amar Villa Heritage, Chembur Mumbai",800 sqft,"₹
3.50 Cr"
"3 BHK Apartment for Sale in Mahindra Vivante, Andheri East Mumbai",1300 sqft,"₹
4.95 Cr"
2 BHK Apartment for Sale in Daulat Nagar Borivali East Mumbai,504 sqft,"₹
1.36 Cr"
"2 BHK Apartment for Sale in Triumph Siddhivinayak, Borivali East Mumbai",750 sqft,"₹
2.35 Cr"
3 BHK Apartment for Sale in Chandivali Mumbai,1200 sqft,"₹
3.75 Cr"
"2 BHK Apartment for Sale in Powai Vihar, Powai Mumbai",708 sqft,"₹
2 Cr"
"2 BHK Apartment for Sale in Gaurav Valley, Mira Road Area Mumbai",870 sqft,"₹
75 Lac"
3 BHK Apartment for Sale in Mahesh Nagar Mumbai,1018 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Guru Smruti Apartment, Juhu Scheme Mumbai",900 sqft,"₹
5 Cr"
2 BHK Apartment for Sale in Mithchowki Mumbai,632 sqft,"₹
1.55 Cr"
"3 BHK Apartment for Sale in India Bulls Sky Forest, Lower Parel Mumbai",2200 sqft,"₹
8 Cr"
"2 BHK Apartment for Sale in Laxmi Sadan Gokhale Road, Dadar West Mumbai",690 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Sai Life Sai Siddhi Towers, Ghatkopar East Mumbai",1000 sqft,"₹
2 Cr"
2 BHK Apartment for Sale in Vasai West Mumbai,807 sqft,"₹
90 Lac"
2 BHK Apartment for Sale in Orlem Mumbai,760 sqft,"₹
1.45 Cr"
"2 BHK Apartment for Sale in Nestor Nirvan Apartments, Santacruz East Mumbai",600 sqft,"₹
1.70 Cr"
"2 BHK Apartment for Sale in Nirmal Lifestyle, Mulund West Mumbai",700 sqft,"₹
1.48 Cr"
"2 BHK Apartment for Sale in Lifescapes Ambar, Lower Parel Mumbai",475 sqft,"₹
2.50 Cr"
3 BHK Apartment for Sale in Goregaon East Mumbai,996 sqft,"₹
6.60 Cr"
"2 BHK Apartment for Sale in Sheth Beau Pride, Hill Road Mumbai",850 sqft,"₹
6 Cr"
2 BHK Apartment for Sale in Jawahar Nagar Goregaon West Mumbai,700 sqft,"₹
1.60 Cr"
"2 BHK Apartment for Sale in Rajveer Apartment, Andheri West Mumbai",750 sqft,"₹
2.10 Cr"
2 BHK Apartment for Sale in Mandvi Mumbai,521 sqft,"₹
1.80 Cr"
"2 BHK Apartment for Sale in Vasant Sagar, Thakur Village, Kandivali East Mumbai",700 sqft,"₹
1.85 Cr"
"3 BHK Apartment for Sale in Astron, Thakur Village, Kandivali East Mumbai",1077 sqft,"₹
2.95 Cr"
3 BHK Apartment for Sale in Byculla East Mumbai,1215 sqft,"₹
3.90 Cr"
3 BHK Apartment for Sale in Seven Bungalows Mumbai,970 sqft,"₹
4.15 Cr"
"2 BHK Apartment for Sale in The Pinnacle, Nalasopara West Mumbai",540 sqft,"₹
52 Lac"
"2 BHK Apartment for Sale in Parvati Sadan Apartment, Khar West Mumbai",735 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Ashwa Platinum, Mulund West Mumbai",965 sqft,"₹
1.90 Cr"
"3 BHK Apartment for Sale in Kabra Primera, JVPD Scheme Mumbai",1240 sqft,"₹
7 Cr"
"2 BHK Apartment for Sale in Chandak Cornerstone, Gandhi Nagar Upper Worli Mumbai",700 sqft,"₹
3.40 Cr"
2 BHK House for Sale in Lokhandwala Road Mumbai,713 sqft,"₹
2.06 Cr"
2 BHK Apartment for Sale in Grant Road East Mumbai,800 sqft,"₹
2.80 Cr"
"2 BHK Apartment for Sale in Manju Mahal Apartment, Pali Hill Mumbai",900 sqft,"₹
4.35 Cr"
"3 BHK Apartment for Sale in Ekta Eros , Khar West Mumbai",1200 sqft,"₹
6.75 Cr"
"2 BHK Apartment for Sale in Amardeep Anutham , Sane Guruji Nagar Mulund East Mumbai",675 sqft,"₹
2 Cr"
"2 BHK Apartment for Sale in Unity Towers, Worli Mumbai",430 sqft,"₹
2.15 Cr"
"3 BHK Apartment for Sale in Panju Mahal Apartment, Bandra West Mumbai",1450 sqft,"₹
14 Cr"
"3 BHK Apartment for Sale in Rustomjee Crown Phase II, Kamgar Nagar Prabhadevi Mumbai",1335 sqft,"₹
8.75 Cr"
"2 BHK Apartment for Sale in Anand Bhavan, Santacruz West Mumbai",710 sqft,"₹
3.99 Cr"
2 BHK Apartment for Sale in Malvani Mumbai,465 sqft,"₹
78 Lac"
"2 BHK Apartment for Sale in Refinery View, Chembur Mumbai",825 sqft,"₹
1.60 Cr"
"3 BHK Apartment for Sale in Neelyog Aashiyana, Kandivali West Mumbai",748 sqft,"₹
1.69 Cr"
"2 BHK Apartment for Sale in Dosti Florentine, Wadala Mumbai",770 sqft,"₹
2.70 Cr"
"3 BHK Apartment for Sale in Summit Apartment, Goregaon East Mumbai",1080 sqft,"₹
99 Lac"
"2 BHK Apartment for Sale in Lodha Codename Never Before, Malad East Mumbai",757 sqft,"₹
2.15 Cr"
"3 BHK Apartment for Sale in Amardeep Anutham , Mulund East Mumbai",1005 sqft,"₹
3 Cr"
"3 BHK Apartment for Sale in Godrej RKS, Chembur Mumbai",2171 sqft,"₹
7 Cr"
"3 BHK Apartment for Sale in Godrej Sky Terraces, Chembur Mumbai",1516 sqft,"₹
6.30 Cr"
3 BHK Apartment for Sale in Dahisar East Mumbai,875 sqft,"₹
1.65 Cr"
2 BHK Apartment for Sale in Virar Mumbai,555 sqft,"₹
55 Lac"
"2 BHK Apartment for Sale in Hatkesh Heights, Mira Road Area Mumbai",640 sqft,"₹
88 Lac"
"3 BHK Flat for Sale in Kolte Patil Life Republic, Hinjawadi, Pune",1215 sqft,"₹
99.3 Lac"
"2 BHK Flat for Sale in Rajyog Township, Sinhgad Road, Pune",700 sqft,"₹
65 Lac"
"3 BHK Flat for Sale in Windsor Avenue, Wanowrie, Pune",1700 sqft,"₹
1.90 Cr"
"4 BHK Villa for Sale in Paranjape Forest Trails, Bhugaon, Bavdhan Pune",2767 sqft,"₹
6 Cr"
"5 BHK Flat for Sale in Hinjawadi, Pune",2500 sqft,"₹
3.10 Cr"
"3 BHK Flat for Sale in Megapolis Sangria Towers, Hinjawadi, Pune",1250 sqft,"₹
1.18 Cr"
"1 BHK Flat for Sale in Paranjape Blue Ridge, Hinjawadi, Pune",444 sqft,"₹
49 Lac"
"2 BHK Flat for Sale in Ganga New Town, Dhanori, Pune",780 sqft,"₹
73.6 Lac"
"3 BHK Flat for Sale in Prabhat Road, Pune",1300 sqft,"₹
3.40 Cr"
"2 BHK Flat for Sale in ARV Royale, Hadapsar, Pune",735 sqft,"₹
55 Lac"
"3 BHK Flat for Sale in Kumar Princetown Royal, NIBM Road, Pune",1350 sqft,"₹
1.30 Cr"
"3 BHK Flat for Sale in Viman Nagar, Pune",1660 sqft,"₹
2.25 Cr"
"2 BHK Flat for Sale in Surya Skies, Punawale, Pimpri Chinchwad, Pune",711 sqft,"₹
55.7 Lac"
"3 BHK Flat for Sale in Marvel Isola, NIBM Road, Pune",1900 sqft,"₹
1.85 Cr"
"4 BHK Flat for Sale in Eastwoods, NIBM Road, Pune",2040 sqft,"₹
2.21 Cr"
"4 BHK Flat for Sale in Fortaleza, Kalyani Nagar, Pune",2850 sqft,"₹
3.25 Cr"
"3 BHK Flat for Sale in Kolte-Patil Tuscan Estate, Kharadi, Pune",1400 sqft,"₹
2.05 Cr"
"3 BHK Flat for Sale in Karandikar Elina Living, NIBM Road, Pune",1250 sqft,"₹
1.35 Cr"
"3 BHK Flat for Sale in Kumar Kruti, Kalyani Nagar, Pune",980 sqft,"₹
1.51 Cr"
"3 BHK Flat for Sale in Ganga Serio, Kharadi, Pune",1200 sqft,"₹
1.90 Cr"
"4 BHK Flat for Sale in Abil Imperial Atria Tower 2, Baner, Pune",2528 sqft,"₹
4.22 Cr"
"3 BHK Flat for Sale in Ashiana Malhar, Hinjawadi, Pune",1046 sqft,"₹
1.02 Cr"
"3 BHK Flat for Sale in Kalpataru Jade Residences, Baner, Pune",1350 sqft,"₹
2.48 Cr"
"4 BHK Flat for Sale in Godrej River Royale, Mahalunge, Pune",2304 sqft,"₹
3.50 Cr"
"3 BHK Flat for Sale in Majestique New Friends Society, Kothrud, Pune",1156 sqft,"₹
2.25 Cr"
"3 BHK Flat for Sale in Duville Riverdale Grand, Kharadi, Pune",1417 sqft,"₹
2.11 Cr"
"2 BHK Flat for Sale in Kolte Patil Life Republic Aros, Hinjawadi, Pune",836 sqft,"₹
77.4 Lac"
"3 BHK Flat for Sale in VTP Leonara, Mahalunge, Pune",925 sqft,"₹
1 Cr"
"2 BHK Flat for Sale in Kalpataru Exquisite, Wakad, Pune",1000 sqft,"₹
1.52 Cr"
"3 BHK Apartment for Sale in Landmark Garden, Kalyani Nagar Pune",2000 sqft,"₹
3.60 Cr"
"3 BHK Apartment for Sale in Blueridge slim fit and NGA Towers, Hinjawadi Pune",1150 sqft,"₹
1.26 Cr"
"3 BHK Apartment for Sale in Adreno Towers, Amanora Park Town Pune",1133 sqft,"₹
2.20 Cr"
"2 BHK Apartment for Sale in VTP Leonara, Mahalunge Pune",800 sqft,"₹
74.5 Lac"
"2 BHK Apartment for Sale in The Island, Wakad Pune",910 sqft,"₹
97 Lac"
"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Park Ways, Wakad Pune",1151 sqft,"₹
1.15 Cr"
"3 BHK Apartment for Sale in Mandke Arman, Viman Nagar Pune",1500 sqft,"₹
1.90 Cr"
"3 BHK Apartment for Sale in Nanded Sargam, Nanded Pune",1055 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in ARV New Town, NIBM Annexe Area Pune",680 sqft,"₹
43 Lac"
"2 BHK Apartment for Sale in Javdekar Yashwin Phase II, Hinjawadi Pune",630 sqft,"₹
76 Lac"
"3 BHK Apartment for Sale in Nyati Evara 1, Undri Pune",1256 sqft,"₹
1.12 Cr"
"3 BHK Apartment for Sale in Nyati Esteban I, Undri Pune",1950 sqft,"₹
1.49 Cr"
"3 BHK Apartment for Sale in Pristine O2 World Part 1, Kharadi Pune",1393 sqft,"₹
1.36 Cr"
"3 BHK Apartment for Sale in Kundan Presidia, NIBM Road Pune",1300 sqft,"₹
1.49 Cr"
"4 BHK Apartment for Sale in Prabhat Vandan Apartments, Prabhat Road Pune",1495 sqft,"₹
3.19 Cr"
"5 BHK Apartment for Sale in The Latitude, NIBM Road Pune",2700 sqft,"₹
2.99 Cr"
"3 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",1106 sqft,"₹
1.08 Cr"
"3 BHK Apartment for Sale in Kumar Omkar Shree, Narhe Pune",875 sqft,"₹
78.7 Lac"
"3 BHK Apartment for Sale in Megapolis Sangria Towers, Hinjawadi Pune",1044 sqft,"₹
86 Lac"
"3 BHK Apartment for Sale in Kalpataru Jade Residences, Baner Pune",1700 sqft,"₹
3.33 Cr"
"3 BHK Apartment for Sale in Shree Venkatesh Laurel, Shivajinagar Pune",1277 sqft,"₹
3.20 Cr"
"2 BHK Apartment for Sale in Nirman Astropolis, Tathawade Pimpri Chinchwad Pune",778 sqft,"₹
90 Lac"
"4 BHK Penthouse for Sale in Ganga Legend, Ram Nagar Bavdhan Pune",1660 sqft,"₹
1.78 Cr"
"4 BHK Villa for Sale in Jhamtani Ace Villas, Koregaon Park Annexe, Mundhwa Pune",5440 sqft,"₹
9.99 Cr"
"3 BHK Apartment for Sale in Regency Astra, Baner Pune",1260 sqft,"₹
1.44 Cr"
"4 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",1900 sqft,"₹
3.20 Cr"
"3 BHK Apartment for Sale in Nyati Evoque, Wadgaon Sheri Pune",1519 sqft,"₹
3.50 Cr"
"2 BHK Apartment for Sale in Vasundhara, Kothrud Pune",873 sqft,"₹
1.55 Cr"
"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune",1129 sqft,"₹
1.58 Cr"
"3 BHK Flat for Sale in Kolte Patil Life Republic, Hinjawadi, Pune",1215 sqft,"₹
99.3 Lac"
"2 BHK Flat for Sale in Rajyog Township, Sinhgad Road, Pune",700 sqft,"₹
65 Lac"
"3 BHK Flat for Sale in Windsor Avenue, Wanowrie, Pune",1700 sqft,"₹
1.90 Cr"
"4 BHK Villa for Sale in Paranjape Forest Trails, Bhugaon, Bavdhan Pune",2767 sqft,"₹
6 Cr"
"3 BHK Flat for Sale in Megapolis Sangria Towers, Hinjawadi, Pune",1207 sqft,"₹
98 Lac"
"2 BHK Flat for Sale in Shapoorji Pallonji Joyville, Hinjawadi, Pune",726 sqft,"₹
70 Lac"
"2 BHK Flat for Sale in Ganga New Town, Dhanori, Pune",780 sqft,"₹
73.6 Lac"
"3 BHK Flat for Sale in Prabhat Road, Pune",1300 sqft,"₹
3.40 Cr"
"2 BHK Flat for Sale in ARV Royale, Hadapsar, Pune",735 sqft,"₹
55 Lac"
"3 BHK Flat for Sale in Kumar Princetown Royal, NIBM Road, Pune",1350 sqft,"₹
1.30 Cr"
"3 BHK Flat for Sale in Viman Nagar, Pune",1660 sqft,"₹
2.25 Cr"
"2 BHK Flat for Sale in Surya Skies, Punawale, Pimpri Chinchwad, Pune",711 sqft,"₹
55.7 Lac"
"3 BHK Flat for Sale in Marvel Isola, NIBM Road, Pune",1900 sqft,"₹
1.85 Cr"
"4 BHK Flat for Sale in Eastwoods, NIBM Road, Pune",2040 sqft,"₹
2.21 Cr"
"4 BHK Flat for Sale in Fortaleza, Kalyani Nagar, Pune",2850 sqft,"₹
3.25 Cr"
"3 BHK Flat for Sale in Kolte-Patil Tuscan Estate, Kharadi, Pune",1400 sqft,"₹
2.05 Cr"
"3 BHK Flat for Sale in Karandikar Elina Living, NIBM Road, Pune",1250 sqft,"₹
1.35 Cr"
"3 BHK Flat for Sale in Kumar Kruti, Kalyani Nagar, Pune",980 sqft,"₹
1.51 Cr"
"3 BHK Flat for Sale in Ganga Serio, Kharadi, Pune",1200 sqft,"₹
1.90 Cr"
"4 BHK Flat for Sale in Abil Imperial Atria Tower 2, Baner, Pune",2528 sqft,"₹
4.22 Cr"
"3 BHK Flat for Sale in Ashiana Malhar, Hinjawadi, Pune",1046 sqft,"₹
1.02 Cr"
"3 BHK Flat for Sale in Kalpataru Jade Residences, Baner, Pune",1350 sqft,"₹
2.48 Cr"
"4 BHK Flat for Sale in Godrej River Royale, Mahalunge, Pune",2304 sqft,"₹
3.50 Cr"
"3 BHK Flat for Sale in Majestique New Friends Society, Kothrud, Pune",1156 sqft,"₹
2.25 Cr"
"3 BHK Flat for Sale in Duville Riverdale Grand, Kharadi, Pune",1417 sqft,"₹
2.11 Cr"
"2 BHK Flat for Sale in Kolte Patil Life Republic Aros, Hinjawadi, Pune",836 sqft,"₹
77.4 Lac"
"3 BHK Flat for Sale in VTP Leonara, Mahalunge, Pune",925 sqft,"₹
1 Cr"
"2 BHK Flat for Sale in Kalpataru Exquisite, Wakad, Pune",1000 sqft,"₹
1.52 Cr"
"3 BHK Apartment for Sale in Landmark Garden, Kalyani Nagar Pune",2000 sqft,"₹
3.60 Cr"
"3 BHK Apartment for Sale in Blueridge slim fit and NGA Towers, Hinjawadi Pune",1150 sqft,"₹
1.26 Cr"
"3 BHK Apartment for Sale in Adreno Towers, Amanora Park Town Pune",1133 sqft,"₹
2.20 Cr"
"2 BHK Apartment for Sale in VTP Leonara, Mahalunge Pune",800 sqft,"₹
74.5 Lac"
"2 BHK Apartment for Sale in The Island, Wakad Pune",910 sqft,"₹
97 Lac"
"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Park Ways, Wakad Pune",1151 sqft,"₹
1.15 Cr"
"3 BHK Apartment for Sale in Mandke Arman, Viman Nagar Pune",1500 sqft,"₹
1.90 Cr"
"3 BHK Apartment for Sale in Nanded Sargam, Nanded Pune",1055 sqft,"₹
1.30 Cr"
"2 BHK Apartment for Sale in ARV New Town, NIBM Annexe Area Pune",680 sqft,"₹
43 Lac"
"2 BHK Apartment for Sale in Javdekar Yashwin Phase II, Hinjawadi Pune",630 sqft,"₹
76 Lac"
"3 BHK Apartment for Sale in Nyati Evara 1, Undri Pune",1256 sqft,"₹
1.12 Cr"
"3 BHK Apartment for Sale in Nyati Esteban I, Undri Pune",1950 sqft,"₹
1.49 Cr"
"3 BHK Apartment for Sale in Pristine O2 World Part 1, Kharadi Pune",1393 sqft,"₹
1.36 Cr"
"3 BHK Apartment for Sale in Kundan Presidia, NIBM Road Pune",1300 sqft,"₹
1.49 Cr"
"4 BHK Apartment for Sale in Prabhat Vandan Apartments, Prabhat Road Pune",1495 sqft,"₹
3.19 Cr"
"2 BHK Apartment for Sale in Vedant, NIBM Road Pune",810 sqft,"₹
72 Lac"
"3 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",1106 sqft,"₹
1.08 Cr"
"3 BHK Apartment for Sale in Kumar Omkar Shree, Narhe Pune",875 sqft,"₹
78.7 Lac"
"3 BHK Apartment for Sale in Megapolis Sangria Towers, Hinjawadi Pune",1044 sqft,"₹
86 Lac"
"3 BHK Apartment for Sale in Kalpataru Jade Residences, Baner Pune",1700 sqft,"₹
3.33 Cr"
"3 BHK Apartment for Sale in Shree Venkatesh Laurel, Shivajinagar Pune",1277 sqft,"₹
3.20 Cr"
"2 BHK Apartment for Sale in Nirman Astropolis, Tathawade Pimpri Chinchwad Pune",778 sqft,"₹
90 Lac"
"4 BHK Penthouse for Sale in Ganga Legend, Ram Nagar Bavdhan Pune",1660 sqft,"₹
1.78 Cr"
"4 BHK Villa for Sale in Jhamtani Ace Villas, Koregaon Park Annexe, Mundhwa Pune",5440 sqft,"₹
9.99 Cr"
"3 BHK Apartment for Sale in Regency Astra, Baner Pune",1260 sqft,"₹
1.44 Cr"
"4 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",1900 sqft,"₹
3.20 Cr"
"3 BHK Apartment for Sale in Nyati Evoque, Wadgaon Sheri Pune",1519 sqft,"₹
3.50 Cr"
"2 BHK Apartment for Sale in Vasundhara, Kothrud Pune",873 sqft,"₹
1.55 Cr"
"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune",1129 sqft,"₹
1.58 Cr"
"2 BHK Apartment for Sale in Unique Sky Links Phase 1, Pashan Pune",865 sqft,"₹
1.31 Cr"
"3 BHK Apartment for Sale in GK Aryaban, Kiwale, Dehu Road Pune",1009 sqft,"₹
90.5 Lac"
"3 BHK Apartment for Sale in Prasun Adara, Kharadi Pune",1246 sqft,"₹
1.57 Cr"
"3 BHK Apartment for Sale in Mahindra Citadel, Pimpri Chinchwad Pune",1386 sqft,"₹
1.92 Cr"
"4 BHK Apartment for Sale in Merlin Ventana, Baner Pune",1456 sqft,"₹
1.74 Cr"
"2 BHK Apartment for Sale in Bramha SkyCity, Dhanori Pune",787 sqft,"₹
75.2 Lac"
"3 BHK Apartment for Sale in Shapoorji Pallonji Sensorium, Hinjawadi Pune",973 sqft,"₹
1.32 Cr"
"2 BHK Apartment for Sale in Geras Joy on the Treetops, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune",753 sqft,"₹
81.9 Lac"
"4 BHK Apartment for Sale in SSPL The Strand, Kharadi Pune",2456 sqft,"₹
3.55 Cr"
"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1457 sqft,"₹
1.79 Cr"
"4 BHK Apartment for Sale in Duville Riverdale Grand, Kharadi Pune",2290 sqft,"₹
3.01 Cr"
"3 BHK Apartment for Sale in Kalpataru Jade Skyline, Baner Pune",1189 sqft,"₹
1.86 Cr"
"2 BHK Apartment for Sale in Nilaya, Bavdhan Pune",864 sqft,"₹
96.9 Lac"
"3 BHK Apartment for Sale in Sobha Nesara, Kothrud Pune",2094 sqft,"₹
2.75 Cr"
"2 BHK Apartment for Sale in Kundan Praangan, Bopkhel Pune",674 sqft,"₹
62.3 Lac"
"3 BHK Apartment for Sale in Shree Venkatesh Midori Towers Phase II, Pimple Nilakh, Pimpri Chinchwad Pune",1154 sqft,"₹
1.66 Cr"
"3 BHK Apartment for Sale in Yashada Dreamsong, Mamurdi, Dehu Road Pune",1101 sqft,"₹
98 Lac"
"2 BHK Apartment for Sale in Nyati Emerald, Baner Pune",838 sqft,"₹
1.10 Cr"
"3 BHK Apartment for Sale in Kesar High Street, Borhade Wadi Pune",1024 sqft,"₹
81.7 Lac"
"4 BHK Apartment for Sale in Satlaj, Shivajinagar Pune",1699 sqft,"₹
4.16 Cr"
"4 BHK Penthouse for Sale in Osian Almanova, Mundhwa Pune",2534 sqft,"₹
3.95 Cr"
"4 BHK Apartment for Sale in 1 Residences By Burgundy, Mundhwa Pune",1873 sqft,"₹
3.35 Cr"
"3 BHK Apartment for Sale in Joy on The Tree Tops Project A, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune",1215 sqft,"₹
1.33 Cr"
"2 BHK Apartment for Sale in Vasant Infinia, Wakad Pune",742 sqft,"₹
69.4 Lac"
"3 BHK Apartment for Sale in Surya Skies, Punawale, Pimpri Chinchwad Pune",974 sqft,"₹
85.3 Lac"
"2 BHK Apartment for Sale in Amanora Crown Towers, Hadapsar Pune",775 sqft,"₹
1.59 Cr"
"2 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",890 sqft,"₹
1.33 Cr"
"2 BHK Apartment for Sale in Audumbar Marigold Calendula, Pimple Nilakh, Pimpri Chinchwad Pune",778 sqft,"₹
93 Lac"
"3 BHK Apartment for Sale in Kohinoor Uptown Avenue, Punawale, Pimpri Chinchwad Pune",1070 sqft,"₹
1.14 Cr"
"4 BHK Apartment for Sale in Skyi Songbirds, Bhugaon, Bavdhan Pune",1403 sqft,"₹
1.51 Cr"
"3 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune",1045 sqft,"₹
1.08 Cr"
"3 BHK Apartment for Sale in Adani Atelier Greens, Mundhwa Pune",1171 sqft,"₹
1.80 Cr"
"2 BHK Apartment for Sale in Rohan Nidita, Hinjawadi Pune",984 sqft,"₹
1.06 Cr"
"3 BHK Apartment for Sale in Lodha Bella Vita, NIBM Road Pune",1200 sqft,"₹
1.23 Cr"
"4 BHK Apartment for Sale in Amberwood, Rahatani Pune",1790 sqft,"₹
2.39 Cr"
"2 BHK Apartment for Sale in Kalpataru Jade Skyline, Pan Card Club Road Pune",860 sqft,"₹
1.15 Cr"
"2 BHK Apartment for Sale in Konark Eureka, Kharadi Pune",962 sqft,"₹
1.12 Cr"
"4 BHK Villa for Sale in Supreme Villagio, Somatane Pune",2100 sqft,"₹
2.65 Cr"
2 BHK Apartment for Sale in Ashok Nagar Tathawade Pune,801 sqft,"₹
79 Lac"
"4 BHK Apartment for Sale in Marvel Diva 2, Magarpatta Pune",2700 sqft,"₹
5 Cr"
"3 BHK Apartment for Sale in Merlin Ventana, Baner Pune",1135 sqft,"₹
1.55 Cr"
"3 BHK Apartment for Sale in Nyati Emerald, Baner Pune",1213 sqft,"₹
1.65 Cr"
"3 BHK Apartment for Sale in 1 Residences By Burgundy, Mundhwa Pune",1464 sqft,"₹
2.60 Cr"
"4 BHK Apartment for Sale in M Soul Strings, Pashan Pune",2090 sqft,"₹
3.45 Cr"
"4 BHK Apartment for Sale in Venkatesh Erandwane Central, Erandwane Pune",1669 sqft,"₹
4.43 Cr"
"2 BHK Apartment for Sale in Sky Crest, Kale Padal, Hadapsar Pune",566 sqft,"₹
56 Lac"
"2 BHK Apartment for Sale in Puraniks Abitante Fiore, Bavdhan Pune",596 sqft,"₹
80 Lac"
"2 BHK Apartment for Sale in Shree Sonigara Vivanta Next, Tathawade Pimpri Chinchwad Pune",740 sqft,"₹
65 Lac"
