Title (Address),Area (sq-ft),Price (Cr)
"2 BHK Apartment for Sale in Ganapati Baug CHSL, Borivali West Mumbai",777 sqft,"₹
2.56 Cr"
"3 BHK Apartment for Sale in Eon One, Prabhadevi Mumbai",1325 sqft,"₹
6.34 Cr"
"3 BHK Apartment for Sale in 7 Mahalaxmi, Lower Parel Mumbai",1100 sqft,"₹
5.21 Cr"
"3 BHK Apartment for Sale in JP Decks, Goregaon Mumbai",1900 sqft,"₹
5.65 Cr"
"2 BHK Apartment for Sale in 73 East, Kandivali West Mumbai",818 sqft,"₹
2.48 Cr"
"3 BHK Apartment for Sale in Kalpataru Vivant, Jogeshwari Vikhroli Link Road Mumbai",866 sqft,"₹
2.94 Cr"
"3 BHK Apartment for Sale in Arkade vistas, Goregaon East Mumbai",1060 sqft,"₹
3.39 Cr"
"2 BHK Apartment for Sale in Satre Happynest, Kanjurmarg East Mumbai",663 sqft,"₹
1.46 Cr"
"3 BHK Apartment for Sale in Dotom Hilton, Borivali West Mumbai",997 sqft,"₹
2.69 Cr"
"3 BHK Apartment for Sale in One Meraki, Chembur Mumbai",1221 sqft,"₹
4.80 Cr"
"3 BHK Apartment for Sale in Agami Eternity, Bandra East Mumbai",794 sqft,"₹
3.38 Cr"
"3 BHK Apartment for Sale in Raheja Modern Vivarea, Mahalakshmi Mumbai",1740 sqft,"₹
13 Cr"
"3 BHK Apartment for Sale in Sumit KMR Param, Borivali West Mumbai",1068 sqft,"₹
2.93 Cr"
"2 BHK Apartment for Sale in Kalpataru Srishti Namaah, Mira Road Area Mumbai",754 sqft,"₹
1.53 Cr"
"3 BHK Apartment for Sale in Lodha Bellevue, Byculla Mumbai",876 sqft,"₹
4.38 Cr"
"3 BHK Apartment for Sale in Codename Triumph Tower 1, Bhandup West Mumbai",1185 sqft,"₹
3.13 Cr"
"3 BHK Apartment for Sale in Godrej Reserve, Kandivali East Mumbai",1457 sqft,"₹
4.30 Cr"
"3 BHK Apartment for Sale in Adani Linkbay Residences, Andheri West Mumbai",1600 sqft,"₹
5.12 Cr"
"2 BHK Apartment for Sale in Neelam Senroofs, Nahur East Mumbai",893 sqft,"₹
2.50 Cr"
"3 BHK Apartment for Sale in Transcon Triumph Tower 4, Andheri West Mumbai",1031 sqft,"₹
4.12 Cr"
"2 BHK Apartment for Sale in Godrej Horizon, Wadala Mumbai",739 sqft,"₹
3.04 Cr"
"3 BHK Apartment for Sale in Kalpataru Magnus, Bandra East Mumbai",1400 sqft,"₹
8.40 Cr"
"3 BHK Apartment for Sale in MICL Aaradhya Parkwood, Mira Bhayandar Mumbai",900 sqft,"₹
1.83 Cr"
"2 BHK Apartment for Sale in Kalpataru Vivant, Jogeshwari Vikhroli Link Road Mumbai",749 sqft,"₹
2.54 Cr"
"3 BHK Apartment for Sale in Hiranandani Empress Hill, Powai Mumbai",1200 sqft,"₹
5.08 Cr"
"3 BHK Apartment for Sale in Raheja Antares, Kanjurmarg Mumbai",1115 sqft,"₹
3.60 Cr"
